Feature,Importance
"line118 x end, line118 y start",0.0
"line118 x end, line118 y end",0.0018819235516031871
"line119 x start, line119 y start",0.0
"line119 x start, line119 y end",0.0021876175601923727
"line119 x end, line119 y start",0.0
"line119 x end, line119 y end",0.0014252911982569308
"line120 x start, line120 y start",0.0
"line120 x start, line120 y end",0.0020401834773655335
"line120 x end, line120 y start",0.0
"line120 x end, line120 y end",0.001680024505807533
"line121 x start, line121 y start",0.0
"line121 x start, line121 y end",0.002214510103695133
"line121 x end, line121 y start",0.0
"line121 x end, line121 y end",0.0007668393024569225
"line122 x start, line122 y start",0.0
"line122 x start, line122 y end",0.0007666985811797003
"line122 x end, line122 y start",0.0
"line122 x end, line122 y end",0.00039514000002196354
"line123 x start, line123 y start",0.0
"line123 x start, line123 y end",0.0011925835247794273
"line123 x end, line123 y start",0.0
"line123 x end, line123 y end",0.0013328952001654165
"line124 x start, line124 y start",0.0
"line124 x start, line124 y end",0.002248446611105588
"line124 x end, line124 y start",0.0
"line124 x end, line124 y end",0.001944942086957305
"line125 x start, line125 y start",0.0
"line125 x start, line125 y end",0.001961413460991067
"line125 x end, line125 y start",0.0
"line125 x end, line125 y end",0.0011907427086828653
"line126 x start, line126 y start",0.0
"line126 x start, line126 y end",0.0013208750682593624
"line126 x end, line126 y start",0.0
"line126 x end, line126 y end",0.0006898232738933428
"line127 x start, line127 y start",0.0
"line127 x start, line127 y end",0.0015962032938625777
"line127 x end, line127 y start",0.0
"line127 x end, line127 y end",0.0016482213964232862
"line128 x start, line128 y start",0.0
"line128 x start, line128 y end",0.003032465206563375
"line128 x end, line128 y start",0.0
"line128 x end, line128 y end",0.001967531803449789
"line129 x start, line129 y start",0.0
"line129 x start, line129 y end",0.0016376487213929437
"line129 x end, line129 y start",0.0
"line129 x end, line129 y end",0.001813471868306997
"line130 x start, line130 y start",0.0
"line130 x start, line130 y end",0.0018704806081079387
"line130 x end, line130 y start",0.0
"line130 x end, line130 y end",0.004018605054739177
"line131 x start, line131 y start",0.0
"line131 x start, line131 y end",0.0018976882801760846
"line131 x end, line131 y start",0.0
"line131 x end, line131 y end",0.0021340140823155125
"line132 x start, line132 y start",0.0
"line132 x start, line132 y end",0.0006764473239641628
"line132 x end, line132 y start",0.0
"line132 x end, line132 y end",0.002445621592558103
"line133 x start, line133 y start",0.0
"line133 x start, line133 y end",0.0009683845749404371
"line133 x end, line133 y start",0.0
"line133 x end, line133 y end",0.0027574750209290243
"line134 x start, line134 y start",0.0
"line134 x start, line134 y end",0.0016718459696012911
"line134 x end, line134 y start",0.0
"line134 x end, line134 y end",0.001213968192110358
"line135 x start, line135 y start",0.0
"line135 x start, line135 y end",0.0017356349905473317
"line135 x end, line135 y start",0.0
"line135 x end, line135 y end",0.0015094064287094456
"line136 x start, line136 y start",0.0
"line136 x start, line136 y end",0.0020209428690572376
"line136 x end, line136 y start",0.0
"line136 x end, line136 y end",0.0018021577470787341
"line137 x start, line137 y start",0.0
"line137 x start, line137 y end",0.0016710897485843587
"line137 x end, line137 y start",0.0
"line137 x end, line137 y end",0.004114043310195667
"line138 x start, line138 y start",0.0
"line138 x start, line138 y end",0.0020959242226258313
"line138 x end, line138 y start",0.0
"line138 x end, line138 y end",0.002895140232936395
"line139 x start, line139 y start",0.0
"line139 x start, line139 y end",0.0010408470671910844
"line139 x end, line139 y start",0.0
"line139 x end, line139 y end",0.0021479657989329367
"line140 x start, line140 y start",0.0
"line140 x start, line140 y end",0.0029672208592421523
"line140 x end, line140 y start",0.0
"line140 x end, line140 y end",0.003869608980169027
"line141 x start, line141 y start",0.0
"line141 x start, line141 y end",0.003662922082050227
"line141 x end, line141 y start",0.0
"line141 x end, line141 y end",0.000621289106467903
"line142 x start, line142 y start",0.0
"line142 x start, line142 y end",0.0016299532244528137
"line142 x end, line142 y start",0.0
"line142 x end, line142 y end",0.0017607458030533944
"line143 x start, line143 y start",0.0
"line143 x start, line143 y end",0.001141246614389939
"line143 x end, line143 y start",0.0
"line143 x end, line143 y end",0.0012342013568322873
"line144 x start, line144 y start",0.0
"line144 x start, line144 y end",0.002140430921241591
"line144 x end, line144 y start",0.0
"line144 x end, line144 y end",0.0021192469660536173
"line145 x start, line145 y start",0.0
"line145 x start, line145 y end",0.0013536058610477937
"line145 x end, line145 y start",0.0
"line145 x end, line145 y end",0.00012469418914838116
"line146 x start, line146 y start",0.0
"line146 x start, line146 y end",0.0015040211986030447
"line146 x end, line146 y start",0.0
"line146 x end, line146 y end",0.0010174393969965207
"line147 x start, line147 y start",0.0
"line147 x start, line147 y end",0.0014355316114769018
"line147 x end, line147 y start",0.0
"line147 x end, line147 y end",0.002126428180715082
"line148 x start, line148 y start",0.0
"line148 x start, line148 y end",0.001968504477787768
"line148 x end, line148 y start",0.0
"line148 x end, line148 y end",0.0006465116591212029
"line149 x start, line149 y start",0.0
"line149 x start, line149 y end",0.0012613801648583773
"line149 x end, line149 y start",0.0
"line149 x end, line149 y end",0.001127565803291482
"line150 x start, line150 y start",0.0
"line150 x start, line150 y end",0.00010437570518125452
"line150 x end, line150 y start",0.0
"line150 x end, line150 y end",0.00156174277836659
"line151 x start, line151 y start",0.0
"line151 x start, line151 y end",0.000817095345256803
"line151 x end, line151 y start",0.0
"line151 x end, line151 y end",0.0033517289708279744
"line152 x start, line152 y start",0.0
"line152 x start, line152 y end",0.0015787566298021132
"line152 x end, line152 y start",0.0
"line152 x end, line152 y end",0.0011493618102874376
"line153 x start, line153 y start",0.0
"line153 x start, line153 y end",0.0023967445630910917
"line153 x end, line153 y start",0.0
"line153 x end, line153 y end",0.002088525317830965
"line154 x start, line154 y start",0.0
"line154 x start, line154 y end",0.000985412514177707
"line154 x end, line154 y start",0.0
"line154 x end, line154 y end",0.0011477854641529122
"line155 x start, line155 y start",0.0
"line155 x start, line155 y end",0.002206497752780687
"line155 x end, line155 y start",0.0
"line155 x end, line155 y end",0.0012756410360109875
"line156 x start, line156 y start",0.0
"line156 x start, line156 y end",0.0013668663142084956
